Planet Name,Host Name,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year
AU Mic b,AU Mic,1,1,2,Transit,2020
AU Mic c,AU Mic,1,1,2,Transit,2021
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019
GJ 1252 b,GJ 1252,1,1,1,Transit,2020
GJ 143 b,GJ 143,1,1,2,Transit,2019
GJ 3473 b,GJ 3473,1,2,2,Transit,2020
GJ 357 b,GJ 357,1,1,3,Transit,2019
GJ 367 b,GJ 367,1,1,1,Transit,2021
GJ 3929 b,GJ 3929,1,1,1,Transit,2022
HD 108236 b,HD 108236,1,1,5,Transit,2020
HD 108236 c,HD 108236,1,1,5,Transit,2020
HD 108236 d,HD 108236,1,1,5,Transit,2020
HD 108236 e,HD 108236,1,1,5,Transit,2020
HD 110082 b,HD 110082,1,2,1,Transit,2021
HD 110113 b,HD 110113,1,1,2,Transit,2021
HD 1397 b,HD 1397,1,1,1,Transit,2018
HD 152843 b,HD 152843,1,1,2,Transit,2021
HD 152843 c,HD 152843,1,1,2,Transit,2021
HD 15337 b,HD 15337,1,1,2,Transit,2019
HD 15337 c,HD 15337,1,1,2,Transit,2019
HD 183579 b,HD 183579,1,1,1,Transit,2021
HD 191939 b,HD 191939,1,1,5,Transit,2020
HD 191939 c,HD 191939,1,1,5,Transit,2020
HD 191939 d,HD 191939,1,1,5,Transit,2020
HD 202772 A b,HD 202772 A,1,2,1,Transit,2019
HD 207897 b,HD 207897,1,1,1,Transit,2021
HD 213885 b,HD 213885,1,1,2,Transit,2019
HD 21749 c,GJ 143,1,1,2,Transit,2019
HD 219666 b,HD 219666,1,1,1,Transit,2018
HD 221416 b,HD 221416,1,1,1,Transit,2019
HD 23472 b,HD 23472,1,1,2,Transit,2019
HD 23472 c,HD 23472,1,1,2,Transit,2019
HD 260655 b,HD 260655,1,1,2,Transit,2022
HD 260655 c,HD 260655,1,1,2,Transit,2022
HD 2685 b,HD 2685,1,1,1,Transit,2019
HD 28109 b,HD 28109,1,1,3,Transit,2022
HD 28109 c,HD 28109,1,1,3,Transit,2022
HD 28109 d,HD 28109,1,1,3,Transit,2022
HD 332231 b,HD 332231,1,1,1,Transit,2020
HD 5278 b,HD 5278,1,1,2,Transit,2021
HD 63433 b,HD 63433,1,1,2,Transit,2020
HD 63433 c,HD 63433,1,1,2,Transit,2020
HD 63935 b,HD 63935,1,1,2,Transit,2021
HD 73583 b,HD 73583,1,1,2,Transit,2022
HD 73583 c,HD 73583,1,1,2,Transit,2022
HD 86226 c,HD 86226,1,1,2,Transit,2020
HIP 65 A b,HIP 65 A,1,2,1,Transit,2020
HIP 67522 b,HIP 67522,1,1,1,Transit,2020
HIP 94235 b,HIP 94235,1,2,1,Transit,2022
HIP 97166 b,HIP 97166,1,1,2,Transit,2021
HR 858 b,HR 858,1,2,3,Transit,2019
HR 858 c,HR 858,1,2,3,Transit,2019
HR 858 d,HR 858,1,2,3,Transit,2019
L 168-9 b,L 168-9,1,1,1,Transit,2020
L 98-59 b,L 98-59,1,1,4,Transit,2019
L 98-59 c,L 98-59,1,1,4,Transit,2019
L 98-59 d,L 98-59,1,1,4,Transit,2019
LHS 1478 b,LHS 1478,1,1,1,Transit,2021
LHS 1678 b,LHS 1678,1,2,2,Transit,2021
LHS 1678 c,LHS 1678,1,2,2,Transit,2021
LHS 1815 b,LHS 1815,1,1,1,Transit,2020
LHS 3844 b,LHS 3844,1,1,1,Transit,2019
LP 714-47 b,LP 714-47,1,1,1,Transit,2020
LP 791-18 b,LP 791-18,1,1,2,Transit,2019
LP 791-18 c,LP 791-18,1,1,2,Transit,2019
LTT 1445 A b,LTT 1445 A,1,3,2,Transit,2019
LTT 1445 A c,LTT 1445 A,1,3,2,Transit,2022
LTT 3780 b,LTT 3780,1,2,2,Transit,2020
LTT 3780 c,LTT 3780,1,2,2,Transit,2020
LTT 9779 b,LTT 9779,1,1,1,Transit,2020
NGTS-11 b,NGTS-11,1,1,1,Transit,2020
TIC 172900988 b,TIC 172900988 Aa,1,2,1,Transit,2021
TIC 237913194 b,TIC 237913194,1,1,1,Transit,2020
TIC 257060897 b,TIC 257060897,1,1,1,Transit,2021
TOI-1062 b,TOI-1062,1,1,2,Transit,2021
TOI-1062 c,TOI-1062,1,1,2,Radial Velocity,2021
TOI-1064 b,TOI-1064,1,1,2,Transit,2022
TOI-1064 c,TOI-1064,1,1,2,Transit,2022
TOI-1075 b,TOI-1075,1,1,1,Transit,2022
TOI-1107 b,TOI-1107,1,1,1,Transit,2022
TOI-1130 b,TOI-1130,1,1,2,Transit,2020
TOI-1130 c,TOI-1130,1,1,2,Transit,2020
TOI-1181 b,TOI-1181,1,1,1,Transit,2022
TOI-1201 b,TOI-1201,1,2,1,Transit,2021
TOI-122 b,TOI-122,1,1,1,Transit,2020
TOI-1227 b,TOI-1227,1,1,1,Transit,2022
TOI-1231 b,TOI-1231,1,1,1,Transit,2021
TOI-1235 b,TOI-1235,1,1,1,Transit,2020
TOI-1246 b,TOI-1246,1,1,4,Transit,2022
TOI-1246 c,TOI-1246,1,1,4,Transit,2022
TOI-1246 d,TOI-1246,1,1,4,Transit,2022
TOI-1246 e,TOI-1246,1,1,4,Transit,2022
TOI-125 b,TOI-125,1,1,3,Transit,2019
